period,Lower_48,Midwest,Mountain,Pacific,South_Central,Salt,Nonsalt,East,Period,Week,Year
2016-10-07,913,3759,1071,240,907,323,305,1212,2016-10-07,40,2016
2016-10-14,925,3836,1093,243,920,325,330,1250,2016-10-14,41,2016
2016-10-21,939,3909,1115,245,931,326,352,1284,2016-10-21,42,2016
2016-10-28,940,3963,1130,249,944,326,374,1318,2016-10-28,43,2016
2016-11-04,946,4017,1148,253,958,327,385,1343,2016-11-04,44,2016
2016-11-11,944,4047,1155,257,969,328,394,1363,2016-11-11,45,2016
2016-11-18,935,4045,1153,259,974,328,396,1370,2016-11-18,46,2016
2016-11-25,912,3995,1130,258,967,328,400,1367,2016-11-25,47,2016
2016-12-02,899,3953,1112,256,960,323,403,1363,2016-12-02,48,2016
2016-12-09,865,3806,1071,244,927,312,388,1314,2016-12-09,49,2016
2016-12-16,810,3597,1007,230,884,302,363,1248,2016-12-16,50,2016
2016-12-23,757,3360,946,217,833,283,324,1157,2016-12-23,51,2016
2016-12-30,737,3311,921,207,828,275,343,1171,2016-12-30,52,2016
2017-01-06,698,3160,865,197,794,263,343,1137,2017-01-06,1,2017
2017-01-13,639,2917,795,183,740,248,312,1052,2017-01-13,2,2017
2017-01-20,596,2798,757,173,712,235,325,1037,2017-01-20,3,2017
2017-01-27,569,2711,730,164,687,221,340,1027,2017-01-27,4,2017
2017-02-03,520,2559,685,155,654,208,338,991,2017-02-03,5,2017
2017-02-10,479,2445,642,150,636,205,332,969,2017-02-10,6,2017
2017-02-17,431,2356,612,146,633,206,328,961,2017-02-17,7,2017
2017-02-24,422,2363,608,146,649,205,333,982,2017-02-24,8,2017
2017-03-03,404,2295,579,139,646,201,326,972,2017-03-03,9,2017
2017-03-10,368,2242,557,137,653,203,325,977,2017-03-10,10,2017
2017-03-17,309,2092,506,137,637,208,295,932,2017-03-17,11,2017
2017-03-24,278,2049,486,141,644,212,289,932,2017-03-24,12,2017
2017-03-31,268,2051,479,142,651,216,295,946,2017-03-31,13,2017
2017-04-07,266,2061,476,141,656,221,301,957,2017-04-07,14,2017
2017-04-14,278,2115,487,144,670,223,314,983,2017-04-14,15,2017
2017-04-21,303,2189,504,149,684,228,321,1005,2017-04-21,16,2017
2017-04-28,325,2256,519,153,697,233,329,1026,2017-04-28,17,2017
2017-05-05,350,2301,524,155,702,238,331,1034,2017-05-05,18,2017
2017-05-12,367,2369,540,161,720,244,337,1057,2017-05-12,19,2017
2017-05-19,390,2444,562,166,738,250,338,1076,2017-05-19,20,2017
2017-05-26,419,2525,585,166,755,258,342,1097,2017-05-26,21,2017
2017-06-02,457,2631,614,172,774,269,345,1119,2017-06-02,22,2017
2017-06-09,491,2709,634,177,784,274,348,1133,2017-06-09,23,2017
2017-06-16,513,2770,656,182,794,281,343,1138,2017-06-16,24,2017
2017-06-23,536,2816,676,184,799,280,341,1140,2017-06-23,25,2017
2017-06-30,564,2878,699,187,810,287,332,1141,2017-06-30,26,2017
2017-07-07,588,2936,719,193,817,292,327,1144,2017-07-07,27,2017
2017-07-14,609,2963,733,194,816,292,319,1135,2017-07-14,28,2017
2017-07-21,626,2980,743,197,812,294,308,1120,2017-07-21,29,2017
2017-07-28,651,2999,754,200,805,293,296,1101,2017-07-28,30,2017
2017-08-04,673,3029,771,202,804,289,290,1094,2017-08-04,31,2017
2017-08-11,701,3082,798,204,804,292,283,1087,2017-08-11,32,2017
2017-08-18,728,3125,821,206,800,296,274,1074,2017-08-18,33,2017
2017-08-25,749,3155,840,205,797,301,262,1060,2017-08-25,34,2017
2017-09-01,781,3220,872,205,800,296,266,1066,2017-09-01,35,2017
2017-09-08,809,3311,906,208,807,296,285,1092,2017-09-08,36,2017
2017-09-15,833,3408,938,212,821,300,304,1125,2017-09-15,37,2017
2017-09-22,848,3466,964,217,825,307,305,1130,2017-09-22,38,2017
2017-09-29,861,3508,989,220,827,311,300,1127,2017-09-29,39,2017
2017-10-06,884,3595,1024,223,838,315,310,1149,2017-10-06,40,2017
2017-10-13,901,3645,1054,224,848,316,302,1150,2017-10-13,41,2017
2017-10-20,915,3710,1082,224,861,315,313,1174,2017-10-20,42,2017
2017-10-27,926,3775,1107,226,874,317,324,1199,2017-10-27,43,2017
2017-11-03,925,3790,1112,224,876,317,336,1212,2017-11-03,44,2017
2017-11-10,915,3772,1108,220,873,315,341,1214,2017-11-10,45,2017
2017-11-17,891,3726,1090,220,871,314,340,1211,2017-11-17,46,2017
2017-11-24,876,3693,1068,221,866,314,348,1214,2017-11-24,47,2017
2017-12-01,868,3695,1058,221,875,313,360,1235,2017-12-01,48,2017
2017-12-08,855,3626,1033,213,860,305,360,1220,2017-12-08,49,2017
2017-12-15,811,3444,980,204,825,294,330,1155,2017-12-15,50,2017
2017-12-22,782,3332,941,195,809,281,324,1133,2017-12-22,51,2017
2017-12-29,740,3126,875,183,759,268,302,1060,2017-12-29,52,2017
2018-01-05,664,2767,778,167,683,251,224,907,2018-01-05,1,2018
2018-01-12,614,2584,717,158,646,244,206,851,2018-01-12,2,2018
2018-01-19,555,2296,634,145,578,233,151,729,2018-01-19,3,2018
2018-01-26,525,2197,596,137,550,220,169,719,2018-01-26,4,2018
2018-02-02,488,2078,543,131,518,213,184,703,2018-02-02,5,2018
2018-02-09,432,1884,468,122,472,213,178,649,2018-02-09,6,2018
2018-02-16,403,1760,428,111,440,204,175,614,2018-02-16,7,2018
2018-02-23,382,1682,398,102,429,189,183,611,2018-02-23,8,2018
2018-03-02,359,1625,380,97,423,177,189,612,2018-03-02,9,2018
2018-03-09,314,1532,350,93,420,169,186,606,2018-03-09,10,2018
2018-03-16,270,1446,315,90,419,169,182,602,2018-03-16,11,2018
2018-03-23,242,1383,284,88,422,166,181,603,2018-03-23,12,2018
2018-03-30,229,1354,266,87,419,166,188,606,2018-03-30,13,2018
2018-04-06,217,1335,246,83,422,171,196,618,2018-04-06,14,2018
2018-04-13,207,1299,228,83,421,175,185,606,2018-04-13,15,2018
2018-04-20,205,1281,211,84,421,177,182,604,2018-04-20,16,2018
2018-04-27,223,1343,221,86,436,187,190,626,2018-04-27,17,2018
2018-05-04,243,1432,240,92,458,195,204,662,2018-05-04,18,2018
2018-05-11,275,1538,267,98,477,204,216,694,2018-05-11,19,2018
2018-05-18,299,1629,288,107,496,213,226,722,2018-05-18,20,2018
2018-05-25,328,1725,315,113,514,221,235,748,2018-05-25,21,2018
2018-06-01,351,1817,341,121,528,231,245,773,2018-06-01,22,2018
2018-06-08,377,1913,372,125,547,239,252,800,2018-06-08,23,2018
2018-06-15,406,2008,401,127,570,246,258,828,2018-06-15,24,2018
2018-06-22,430,2074,425,133,583,251,252,835,2018-06-22,25,2018
2018-06-29,460,2152,455,139,596,257,245,841,2018-06-29,26,2018
2018-07-06,480,2203,477,143,605,260,238,843,2018-07-06,27,2018
2018-07-13,507,2248,501,144,607,259,231,838,2018-07-13,28,2018
2018-07-20,527,2272,525,145,605,256,215,820,2018-07-20,29,2018
2018-07-27,552,2305,552,146,601,249,206,807,2018-07-27,30,2018
2018-08-03,574,2353,580,148,604,244,204,808,2018-08-03,31,2018
2018-08-10,590,2386,604,151,606,239,195,802,2018-08-10,32,2018
2018-08-17,611,2435,633,153,609,238,190,799,2018-08-17,33,2018
2018-08-24,637,2504,669,157,613,240,188,801,2018-08-24,34,2018
2018-08-31,659,2567,702,162,615,246,183,799,2018-08-31,35,2018
2018-09-07,679,2636,734,166,624,250,182,806,2018-09-07,36,2018
2018-09-14,709,2722,770,170,635,255,184,818,2018-09-14,37,2018
2018-09-21,729,2768,800,173,634,259,173,807,2018-09-21,38,2018
2018-09-28,763,2866,836,177,648,262,181,829,2018-09-28,39,2018
2018-10-05,790,2956,871,180,663,262,191,854,2018-10-05,40,2018
2018-10-12,812,3037,908,177,673,264,203,877,2018-10-12,41,2018
2018-10-19,825,3095,934,177,678,262,218,896,2018-10-19,42,2018
2018-10-26,826,3143,956,180,686,262,234,919,2018-10-26,43,2018
2018-11-02,831,3208,980,182,696,265,253,949,2018-11-02,44,2018
2018-11-09,835,3247,991,181,702,266,272,974,2018-11-09,45,2018
2018-11-16,803,3113,959,174,668,258,251,919,2018-11-16,46,2018
2018-11-23,778,3054,938,171,654,254,259,914,2018-11-23,47,2018
2018-11-30,752,2991,914,168,642,253,263,905,2018-11-30,48,2018
2018-12-07,732,2914,885,160,627,238,271,898,2018-12-07,49,2018
2018-12-14,692,2773,841,153,598,227,262,860,2018-12-14,50,2018
2018-12-21,676,2725,818,150,584,223,274,858,2018-12-21,51,2018
2018-12-28,661,2705,798,147,582,220,296,878,2018-12-28,52,2018
2019-01-04,651,2614,763,132,563,204,302,865,2019-01-04,1,2019
2019-01-11,620,2533,729,127,557,196,303,861,2019-01-11,2,2019
2019-01-18,566,2370,673,121,528,185,295,823,2019-01-18,3,2019
2019-01-25,527,2197,606,114,493,178,278,771,2019-01-25,4,2019
2019-02-01,468,1960,522,105,451,172,241,692,2019-02-01,5,2019
2019-02-08,444,1882,492,95,447,155,248,696,2019-02-08,6,2019
2019-02-15,395,1705,436,87,425,138,224,649,2019-02-15,7,2019
2019-02-22,354,1539,385,79,399,122,199,598,2019-02-22,8,2019
2019-03-01,311,1390,338,73,377,112,180,557,2019-03-01,9,2019
2019-03-08,262,1190,287,66,344,102,129,473,2019-03-08,10,2019
2019-03-15,245,1143,268,62,336,96,135,471,2019-03-15,11,2019
2019-03-22,225,1107,248,62,329,104,137,467,2019-03-22,12,2019
2019-03-29,210,1130,241,64,347,113,156,502,2019-03-29,13,2019
2019-04-05,209,1155,240,64,357,119,166,523,2019-04-05,14,2019
2019-04-12,228,1247,254,66,384,128,187,571,2019-04-12,15,2019
2019-04-19,251,1339,264,70,413,138,204,616,2019-04-19,16,2019
2019-04-26,279,1462,290,75,442,152,224,666,2019-04-26,17,2019
2019-05-03,299,1547,309,78,466,162,234,699,2019-05-03,18,2019
2019-05-10,330,1653,336,82,491,174,240,731,2019-05-10,19,2019
2019-05-17,353,1753,364,89,513,186,249,762,2019-05-17,20,2019
2019-05-24,383,1867,399,93,540,198,253,793,2019-05-24,21,2019
2019-05-31,414,1986,436,101,565,213,256,821,2019-05-31,22,2019
2019-06-07,440,2088,469,111,586,227,256,842,2019-06-07,23,2019
2019-06-14,472,2203,503,118,612,234,264,875,2019-06-14,24,2019
2019-06-21,499,2301,538,127,630,245,263,893,2019-06-21,25,2019
2019-06-28,526,2390,568,134,648,255,259,907,2019-06-28,26,2019
2019-07-05,544,2471,597,140,669,263,257,927,2019-07-05,27,2019
2019-07-12,561,2533,627,147,683,268,246,929,2019-07-12,28,2019
2019-07-19,575,2569,650,151,692,271,229,921,2019-07-19,29,2019
2019-07-26,597,2634,677,156,708,270,226,934,2019-07-26,30,2019
2019-08-02,613,2689,701,161,719,272,221,941,2019-08-02,31,2019
2019-08-09,634,2738,729,164,725,272,214,939,2019-08-09,32,2019
2019-08-16,660,2797,760,168,730,274,205,935,2019-08-16,33,2019
2019-08-23,682,2857,790,173,736,278,199,934,2019-08-23,34,2019
2019-08-30,714,2941,827,177,749,276,197,947,2019-08-30,35,2019
2019-09-06,739,3019,864,183,759,275,199,958,2019-09-06,36,2019
2019-09-13,763,3103,898,188,774,279,200,974,2019-09-13,37,2019
2019-09-20,794,3205,934,194,790,286,207,998,2019-09-20,38,2019
2019-09-27,826,3317,973,199,809,291,220,1029,2019-09-27,39,2019
2019-10-04,854,3415,1009,203,825,296,229,1054,2019-10-04,40,2019
2019-10-11,880,3519,1044,205,847,296,246,1093,2019-10-11,41,2019
2019-10-18,898,3606,1069,208,866,297,268,1134,2019-10-18,42,2019
2019-10-25,913,3695,1095,211,885,298,293,1178,2019-10-25,43,2019
2019-11-01,932,3729,1109,207,886,292,303,1189,2019-11-01,44,2019
2019-11-08,932,3732,1106,207,884,290,313,1197,2019-11-08,45,2019
2019-11-15,909,3638,1069,205,864,292,299,1164,2019-11-15,46,2019
2019-11-22,894,3610,1052,204,863,293,303,1166,2019-11-22,47,2019
2019-11-29,891,3591,1040,200,858,286,316,1174,2019-11-29,48,2019
2019-12-06,867,3518,1013,193,847,276,321,1168,2019-12-06,49,2019
2019-12-13,838,3411,973,186,823,273,319,1142,2019-12-13,50,2019
2019-12-20,796,3250,923,177,786,260,309,1094,2019-12-20,51,2019
2019-12-27,771,3192,905,173,780,251,313,1093,2019-12-27,52,2019
2020-01-03,756,3148,885,166,774,244,323,1097,2020-01-03,1,2020
2020-01-10,716,3039,851,161,756,235,320,1076,2020-01-10,2,2020
2020-01-17,696,2947,815,151,737,220,328,1065,2020-01-17,3,2020
2020-01-24,638,2746,761,143,698,210,297,995,2020-01-24,4,2020
2020-01-31,598,2609,725,136,660,210,281,941,2020-01-31,5,2020
2020-02-07,569,2494,694,126,634,202,269,903,2020-02-07,6,2020
2020-02-14,527,2343,639,117,605,198,257,861,2020-02-14,7,2020
2020-02-21,484,2200,591,108,578,196,244,821,2020-02-21,8,2020
2020-02-28,451,2091,558,101,555,197,229,784,2020-02-28,9,2020
2020-03-06,426,2043,529,97,556,200,235,791,2020-03-06,10,2020
2020-03-13,412,2034,512,96,568,199,247,814,2020-03-13,11,2020
2020-03-20,398,2005,492,92,571,194,258,829,2020-03-20,12,2020
2020-03-27,382,1986,476,92,585,197,256,840,2020-03-27,13,2020
2020-04-03,382,2024,475,92,607,203,265,872,2020-04-03,14,2020
2020-04-10,400,2097,487,95,626,203,286,912,2020-04-10,15,2020
2020-04-17,400,2140,493,96,640,210,301,941,2020-04-17,16,2020
2020-04-24,405,2210,506,103,664,218,314,979,2020-04-24,17,2020
2020-05-01,424,2319,530,111,695,228,331,1027,2020-05-01,18,2020
2020-05-08,452,2422,554,117,719,240,340,1059,2020-05-08,19,2020
2020-05-15,469,2503,576,124,737,253,345,1081,2020-05-15,20,2020
2020-05-22,504,2612,606,132,757,264,348,1105,2020-05-22,21,2020
2020-05-29,536,2714,634,140,778,273,353,1131,2020-05-29,22,2020
2020-06-05,563,2807,662,148,797,281,357,1153,2020-06-05,23,2020
2020-06-12,586,2892,688,156,815,290,358,1173,2020-06-12,24,2020
2020-06-19,619,3012,716,165,840,299,372,1212,2020-06-19,25,2020
2020-06-26,639,3077,740,173,854,304,368,1222,2020-06-26,26,2020
2020-07-03,657,3133,761,180,862,310,364,1226,2020-07-03,27,2020
2020-07-10,672,3178,780,186,869,312,359,1228,2020-07-10,28,2020
2020-07-17,693,3215,799,190,872,311,349,1221,2020-07-17,29,2020
2020-07-24,706,3241,815,196,872,313,339,1211,2020-07-24,30,2020
2020-07-31,718,3274,830,202,878,311,336,1214,2020-07-31,31,2020
2020-08-07,738,3332,856,206,883,314,337,1219,2020-08-07,32,2020
2020-08-14,750,3375,880,209,888,313,335,1223,2020-08-14,33,2020
2020-08-21,775,3420,904,212,889,306,334,1223,2020-08-21,34,2020
2020-08-28,789,3455,924,212,895,304,331,1225,2020-08-28,35,2020
2020-09-04,805,3525,953,216,908,308,335,1243,2020-09-04,36,2020
2020-09-11,825,3614,983,221,927,310,349,1276,2020-09-11,37,2020
2020-09-18,851,3680,1009,225,934,312,349,1283,2020-09-18,38,2020
2020-09-25,872,3756,1033,231,945,316,358,1304,2020-09-25,39,2020
2020-10-02,893,3831,1062,236,955,318,366,1322,2020-10-02,40,2020
2020-10-09,908,3877,1081,241,960,320,366,1326,2020-10-09,41,2020
2020-10-16,923,3926,1105,245,969,323,360,1329,2020-10-16,42,2020
2020-10-23,941,3955,1118,245,968,323,360,1329,2020-10-23,43,2020
2020-10-30,947,3919,1119,240,945,320,348,1293,2020-10-30,44,2020
2020-11-06,942,3927,1127,243,948,322,345,1293,2020-11-06,45,2020
2020-11-13,953,3958,1139,241,956,319,350,1306,2020-11-13,46,2020
2020-11-20,934,3940,1133,242,956,320,356,1312,2020-11-20,47,2020
2020-11-27,934,3939,1122,240,958,318,368,1326,2020-11-27,48,2020
2020-12-04,915,3848,1095,232,933,312,361,1294,2020-12-04,49,2020
2020-12-11,881,3726,1059,223,908,306,348,1256,2020-12-11,50,2020
2020-12-18,844,3574,1015,212,870,296,337,1207,2020-12-18,51,2020
2020-12-25,810,3460,973,204,849,289,334,1183,2020-12-25,52,2020
2021-01-01,765,3330,923,196,830,282,333,1163,2021-01-01,53,2020
2021-01-08,726,3196,879,188,799,278,327,1126,2021-01-08,1,2021
2021-01-15,679,3009,828,176,755,275,296,1051,2021-01-15,2,2021
2021-01-22,641,2881,780,170,726,275,288,1014,2021-01-22,3,2021
2021-01-29,582,2689,719,158,689,261,281,970,2021-01-29,4,2021
2021-02-05,529,2518,666,150,654,257,261,915,2021-02-05,5,2021
2021-02-12,485,2281,589,137,593,244,233,826,2021-02-12,6,2021
2021-02-19,424,1943,508,123,520,218,150,670,2021-02-19,7,2021
2021-02-26,383,1845,465,117,511,210,159,670,2021-02-26,8,2021
2021-03-05,350,1793,440,113,509,205,176,685,2021-03-05,9,2021
2021-03-12,328,1782,426,114,519,199,197,715,2021-03-12,10,2021
2021-03-19,307,1750,405,112,519,193,215,734,2021-03-19,11,2021
2021-03-26,307,1764,401,112,523,194,226,749,2021-03-26,12,2021
2021-04-02,305,1784,398,115,533,198,235,768,2021-04-02,13,2021
2021-04-09,311,1845,414,118,547,205,251,798,2021-04-09,14,2021
2021-04-16,325,1883,421,118,554,210,256,810,2021-04-16,15,2021
2021-04-23,319,1898,427,119,558,217,258,816,2021-04-23,16,2021
2021-04-30,332,1958,442,124,572,224,264,836,2021-04-30,17,2021
2021-05-07,347,2029,458,131,588,235,269,857,2021-05-07,18,2021
2021-05-14,358,2100,472,135,608,247,280,888,2021-05-14,19,2021
2021-05-21,385,2215,499,144,635,256,296,931,2021-05-21,20,2021
2021-05-28,413,2313,522,151,659,268,300,959,2021-05-28,21,2021
2021-06-04,445,2411,547,160,681,276,302,983,2021-06-04,22,2021
2021-06-11,461,2427,570,165,696,236,299,995,2021-06-11,23,2021
2021-06-18,488,2482,595,169,697,239,295,991,2021-06-18,24,2021
2021-06-25,513,2558,623,173,709,244,296,1005,2021-06-25,25,2021
2021-07-02,521,2574,638,177,705,246,286,991,2021-07-02,26,2021
2021-07-09,543,2629,662,180,712,250,283,995,2021-07-09,27,2021
2021-07-16,562,2678,683,183,723,247,279,1002,2021-07-16,28,2021
2021-07-23,583,2714,702,184,729,246,269,999,2021-07-23,29,2021
2021-07-30,604,2727,719,184,726,244,250,976,2021-07-30,30,2021
2021-08-06,629,2776,741,185,732,241,247,979,2021-08-06,31,2021
2021-08-13,645,2822,765,188,741,240,244,984,2021-08-13,32,2021
2021-08-20,661,2851,790,188,742,241,229,970,2021-08-20,33,2021
2021-08-27,678,2871,812,190,734,243,214,948,2021-08-27,34,2021
2021-09-03,703,2923,842,191,735,243,208,943,2021-09-03,35,2021
2021-09-10,732,3006,876,193,748,240,217,965,2021-09-10,36,2021
2021-09-17,751,3082,904,196,762,240,228,990,2021-09-17,37,2021
2021-09-24,779,3170,934,201,774,243,239,1013,2021-09-24,38,2021
2021-10-01,810,3288,971,206,795,248,259,1054,2021-10-01,39,2021
2021-10-08,834,3369,997,210,810,251,269,1079,2021-10-08,40,2021
2021-10-15,862,3461,1027,211,825,253,283,1108,2021-10-15,41,2021
2021-10-22,885,3548,1052,212,840,255,304,1144,2021-10-22,42,2021
2021-10-29,899,3611,1071,213,852,256,320,1172,2021-10-29,43,2021
2021-11-05,897,3618,1075,213,850,258,324,1175,2021-11-05,44,2021
2021-11-12,900,3644,1079,212,860,261,331,1191,2021-11-12,45,2021
2021-11-19,889,3623,1066,210,859,262,338,1197,2021-11-19,46,2021
2021-11-26,867,3564,1043,206,851,263,335,1185,2021-11-26,47,2021
2021-12-03,843,3505,1019,206,842,266,328,1171,2021-12-03,48,2021
2021-12-10,818,3417,982,199,829,261,328,1158,2021-12-10,49,2021
2021-12-17,809,3362,963,188,820,247,334,1155,2021-12-17,50,2021
2021-12-24,777,3226,918,180,790,235,326,1116,2021-12-24,51,2021
2021-12-31,767,3195,893,172,796,219,347,1143,2021-12-31,52,2021
2022-01-07,730,3016,835,159,759,204,330,1088,2022-01-07,1,2022
2022-01-14,669,2810,770,151,711,201,308,1019,2022-01-14,2,2022
2022-01-21,609,2591,701,143,658,201,279,938,2022-01-21,3,2022
2022-01-28,541,2323,616,133,606,196,231,837,2022-01-28,4,2022
2022-02-04,485,2101,552,121,556,181,207,763,2022-02-04,5,2022
2022-02-11,435,1911,496,114,516,177,173,689,2022-02-11,6,2022
2022-02-18,396,1782,450,105,487,176,168,655,2022-02-18,7,2022
2022-02-25,358,1643,404,96,457,164,163,620,2022-02-25,8,2022
2022-03-04,317,1519,364,93,431,162,151,582,2022-03-04,9,2022
2022-03-11,290,1440,337,87,412,155,159,571,2022-03-11,10,2022
2022-03-18,268,1389,318,87,404,157,156,559,2022-03-18,11,2022
2022-03-25,268,1415,317,89,412,161,169,581,2022-03-25,12,2022
2022-04-01,241,1382,296,91,416,165,173,589,2022-04-01,13,2022
2022-04-08,229,1397,293,90,431,169,186,617,2022-04-08,14,2022
2022-04-15,238,1450,304,89,449,169,201,650,2022-04-15,15,2022
2022-04-22,238,1490,309,90,467,171,215,681,2022-04-22,16,2022
2022-04-29,253,1567,324,92,489,176,233,721,2022-04-29,17,2022
2022-05-06,274,1643,342,96,507,183,241,749,2022-05-06,18,2022
2022-05-13,296,1732,364,103,531,187,251,781,2022-05-13,19,2022
2022-05-20,325,1819,394,109,547,193,252,798,2022-05-20,20,2022
2022-05-27,345,1901,426,113,569,200,248,817,2022-05-27,21,2022
2022-06-03,376,2003,454,118,593,211,251,843,2022-06-03,22,2022
2022-06-10,407,2095,482,122,612,221,251,863,2022-06-10,23,2022
2022-06-17,430,2169,506,128,628,231,248,875,2022-06-17,24,2022
2022-06-24,461,2251,535,134,644,235,242,886,2022-06-24,25,2022
2022-07-01,482,2311,562,138,657,240,233,890,2022-07-01,26,2022
2022-07-08,501,2369,586,143,669,249,221,890,2022-07-08,27,2022
2022-07-15,521,2401,608,144,669,253,206,874,2022-07-15,28,2022
2022-07-22,532,2416,625,144,667,253,195,862,2022-07-22,29,2022
2022-07-29,549,2457,643,147,671,253,195,865,2022-07-29,30,2022
2022-08-05,564,2501,663,148,681,252,193,874,2022-08-05,31,2022
2022-08-12,571,2519,684,151,681,248,185,866,2022-08-12,32,2022
2022-08-19,598,2579,714,153,687,243,184,871,2022-08-19,33,2022
2022-08-26,614,2640,747,157,696,241,185,881,2022-08-26,34,2022
2022-09-02,635,2694,776,159,705,238,182,887,2022-09-02,35,2022
2022-09-09,661,2771,809,163,717,235,187,904,2022-09-09,36,2022
2022-09-16,690,2874,844,168,736,237,199,935,2022-09-16,37,2022
2022-09-23,721,2977,879,176,754,243,204,958,2022-09-23,38,2022
2022-09-30,756,3106,916,184,778,247,225,1003,2022-09-30,39,2022
2022-10-07,782,3231,952,190,804,249,253,1058,2022-10-07,40,2022
2022-10-14,812,3342,987,195,828,249,271,1099,2022-10-14,41,2022
2022-10-21,825,3394,1007,199,839,248,277,1116,2022-10-21,42,2022
2022-10-28,848,3501,1042,204,861,247,299,1160,2022-10-28,43,2022
2022-11-04,865,3580,1068,208,882,247,311,1193,2022-11-04,44,2022
2022-11-11,882,3644,1084,208,901,241,327,1228,2022-11-11,45,2022
2022-11-18,866,3564,1063,203,882,232,318,1200,2022-11-18,46,2022
2022-11-25,840,3483,1040,197,867,226,314,1181,2022-11-25,47,2022
2022-12-02,834,3462,1028,193,864,217,327,1191,2022-12-02,48,2022
2022-12-09,822,3412,1002,186,862,203,337,1199,2022-12-09,49,2022
2022-12-16,789,3325,974,178,858,186,340,1199,2022-12-16,50,2022
2022-12-23,747,3112,899,166,811,165,319,1136,2022-12-23,51,2022
2022-12-30,691,2891,839,157,770,165,270,1040,2022-12-30,52,2022
2023-01-06,700,2902,823,153,772,160,295,1067,2023-01-06,1,2023
2023-01-13,662,2820,785,147,762,157,307,1069,2023-01-13,2,2023
2023-01-20,622,2734,754,140,757,150,310,1067,2023-01-20,3,2023
2023-01-27,578,2583,708,132,728,140,297,1025,2023-01-27,4,2023
2023-02-03,529,2366,641,120,680,124,271,951,2023-02-03,5,2023
2023-02-10,498,2266,601,114,670,122,262,931,2023-02-10,6,2023
2023-02-17,479,2195,575,106,664,108,262,926,2023-02-17,7,2023
2023-02-24,451,2114,544,99,661,99,261,922,2023-02-24,8,2023
2023-03-03,416,2030,515,92,664,81,261,925,2023-03-03,9,2023
2023-03-10,391,1972,490,87,667,72,266,933,2023-03-10,10,2023
2023-03-17,355,1900,461,84,664,72,262,927,2023-03-17,11,2023
2023-03-24,343,1853,437,82,655,73,262,917,2023-03-24,12,2023
2023-03-31,335,1830,421,80,658,73,263,921,2023-03-31,13,2023
2023-04-07,345,1855,427,80,667,74,261,929,2023-04-07,14,2023
2023-04-14,363,1930,450,84,684,83,266,949,2023-04-14,15,2023
2023-04-21,390,2009,468,90,695,90,275,971,2023-04-21,16,2023
2023-04-28,410,2063,481,95,699,100,278,977,2023-04-28,17,2023
2023-05-05,422,2141,497,104,715,114,287,1002,2023-05-05,18,2023
2023-05-12,458,2240,520,112,734,127,290,1023,2023-05-12,19,2023
2023-05-19,489,2336,546,120,748,139,294,1042,2023-05-19,20,2023
2023-05-26,522,2446,577,127,766,151,304,1070,2023-05-26,21,2023
2023-06-02,552,2550,604,137,774,164,319,1093,2023-06-02,22,2023
2023-06-09,574,2634,632,148,781,176,324,1105,2023-06-09,23,2023
2023-06-16,599,2729,658,157,794,191,330,1125,2023-06-16,24,2023
2023-06-23,623,2805,685,165,798,204,330,1128,2023-06-23,25,2023
2023-06-30,643,2881,705,173,816,216,329,1144,2023-06-30,26,2023
2023-07-07,653,2930,724,180,824,225,323,1147,2023-07-07,27,2023
2023-07-14,661,2971,741,186,829,232,321,1150,2023-07-14,28,2023
2023-07-21,670,2987,757,189,829,232,310,1139,2023-07-21,29,2023
2023-07-28,680,3001,775,191,828,230,297,1124,2023-07-28,30,2023
2023-08-04,700,3030,793,196,824,233,284,1108,2023-08-04,31,2023
